,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
755,zinc-dependent metalloprotease,47,50,16,6565.992,2267.5001625000004
756,DUF3107 domain-containing protein,46,50,28,8485.756,2012.0591142857143
757,DEAD/DEAH box helicase,47,50,31,68804.91,14019.01725806452
758,hypothetical protein,34,50,23,17253.57,2557.8625869565217
759,Sec-independent protein translocase protein TatB,44,50,23,13713.99,2665.3793391304357
760,Dyp-type peroxidase,49,50,21,48804.94,3928.8776000000007
761,RNA methyltransferase,47,50,22,198956.2,13422.082604545458
762,lipoyl(octanoyl) transferase LipB,42,50,20,4545.701,1989.249665
763,DUF3054 domain-containing protein,38,50,18,13713.99,1786.4985055555562
764,molybdopterin molybdotransferase MoeA,55,50,32,198956.2,9856.335406249997
765,alanine racemase,30,50,12,49376.54,5878.126641666666
766,LuxR C-terminal-related transcriptional regulator,33,50,19,13713.99,3010.651594736842
767,hemolysin family protein,46,50,15,50885.97,14040.108693333335
768,hypothetical protein,31,50,19,29467.88,3467.392163157894
769,undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,47,50,28,28780.5,4975.317142857143
770,ABC transporter substrate-binding protein,39,50,25,38833.58,4040.2583600000003
771,site-2 protease family protein,46,50,35,138924.1,14110.714654285714
772,trimeric intracellular cation channel family protein,48,50,25,13713.99,3188.5673400000005
773,cysteine desulfurase,45,50,33,37878.25,3737.2522787878793
774,multidrug effflux MFS transporter,34,50,18,38833.58,4984.186233333334
775,ABC transporter substrate-binding protein,27,50,12,8922.646,2319.6481750000003
776,CPBP family intramembrane metalloprotease,39,50,28,65884.11,8966.929189285713
777,DUF2520 domain-containing protein,42,50,30,28780.5,3952.3156200000003
778,dihydropteroate synthase,44,50,33,38833.58,5370.832875757576
779,5-formyltetrahydrofolate cyclo-ligase,42,50,34,27872.66,4420.409305882354
780,ABC transporter ATP-binding protein,47,50,25,28780.5,4141.482508
781,UDP-glucose/GDP-mannose dehydrogenase family protein,47,50,28,13713.99,2268.260478571429
782,5-(carboxyamino)imidazole ribonucleotide synthase,47,50,31,8922.646,1712.788938709678
783,MarR family transcriptional regulator,29,50,22,68804.91,13034.130599999999
784,MFS transporter,58,50,25,8323.257,2032.34238
785,NAD(P)H-hydrate dehydratase,47,50,33,9721.919,2282.574439393941
786,alpha/beta hydrolase,47,50,32,28780.5,4653.464756249999
787,3-methyladenine DNA glycosylase,41,50,35,28780.5,3514.8887228571425
788,AEC family transporter,34,50,17,13713.99,3695.3031058823526
789,biotin transporter BioY,40,50,22,13713.99,2908.9803363636365
790,sensor histidine kinase,40,50,32,32704.39,3333.1648437500003
791,penicillin-binding protein 2,46,50,22,48804.94,3785.3668590909106
792,DciA family protein,45,50,29,38833.58,4553.228962068966
793,ribonuclease P protein component,46,50,43,198956.2,11957.64144883721
794,glutamyl-tRNA reductase,46,50,25,198956.2,12261.980696
795,porphobilinogen synthase,47,50,31,13713.99,2796.0959612903225
796,sugar ABC transporter permease,43,50,21,198956.2,11632.561047619047
797,Gfo/Idh/MocA family oxidoreductase,30,50,24,37878.25,4399.0358125
798,bifunctional copper resistance protein CopD/cytochrome c oxidase assembly protein,39,50,25,13713.99,3121.80822
799,MMPL family transporter,51,50,29,198956.2,9315.78941034483
800,GNAT family N-acetyltransferase,32,50,19,27872.66,3887.2515105263165
801,EamA family transporter,43,50,27,13713.99,2456.0753185185195
802,RNA methyltransferase,47,50,23,138924.1,10894.10176086956
803,MerR family transcriptional regulator,45,50,39,38833.58,3524.0705820512817
804,TIGR02611 family protein,32,50,18,38833.58,3303.5546833333337
805,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,46,50,28,198956.2,10808.063796428567
806,amidohydrolase family protein,36,50,23,8485.756,2404.964317391305
807,transglycosylase domain-containing protein,56,50,28,941334.2,62442.93345357142
808,Sec-independent protein translocase subunit TatA,39,50,21,13713.99,2488.0636047619037
809,ATP-binding protein,47,50,29,302785.5,15340.746241379307
810,ATP-binding protein,31,50,21,38833.58,5424.325557142858
811,tRNA pseudouridine(55) synthase TruB,46,50,28,29467.88,4646.148078571428
812,bifunctional riboflavin kinase/FAD synthetase,47,50,34,138924.1,7759.054397058824
813,diacylglycerol kinase,39,50,27,38833.58,5648.845996296297
814,MarR family transcriptional regulator,34,50,22,74987.35,7655.498345454546
815,type I methionyl aminopeptidase,46,50,30,13713.99,2853.580720000001
816,alanine racemase,43,50,32,138924.1,12317.79224375
817,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,41,50,30,28780.5,3259.5420266666674
818,DNA helicase PcrA,46,50,28,13713.99,2031.3751392857146
819,type 1 glutamine amidotransferase,44,50,29,302785.5,14016.996524137932
820,queuosine precursor transporter,30,50,18,38833.58,5865.1516555555545
821,polyprenyl synthetase family protein,50,50,31,28780.5,3256.379158064517
822,signal peptidase II,55,50,24,28780.5,3256.6888416666675
823,primosomal protein N',47,50,36,38833.58,4116.39313888889
824,tryptophan synthase subunit beta,46,50,30,38833.58,3249.64002
825,glutamate 5-kinase,46,50,37,198956.2,16777.194821621622
826,CrcB family protein,31,50,24,38833.58,3735.6872208333334
827,PAC2 family protein,40,50,18,302785.5,18686.320094444443
828,twin-arginine translocase subunit TatC,52,50,32,38833.58,7508.705775
829,apolipoprotein N-acyltransferase,52,50,31,27872.66,2816.170487096774
830,methyltransferase,43,50,28,4325.003,1587.8008464285722
831,anthranilate phosphoribosyltransferase,45,50,27,12351.13,1733.219225925926
832,class I SAM-dependent methyltransferase,30,50,16,13713.99,1972.7251624999997
833,metal-sulfur cluster assembly factor,47,50,23,38833.58,5314.7846913043495
834,COX15/CtaA family protein,44,50,26,68804.91,4791.609238461539
835,gamma carbonic anhydrase family protein,34,50,17,49376.54,7027.260688235295
836,DUF3159 domain-containing protein,38,50,19,13713.99,3798.095268421053
837,DUF3710 domain-containing protein,46,50,23,198956.2,13673.289399999998
838,TadA family conjugal transfer-associated ATPase,49,50,30,302785.5,22568.490526666676
839,tyrosine--tRNA ligase,45,50,25,28780.5,4311.044000000001
840,ribosome biogenesis GTPase Der,47,50,25,50885.97,5167.641516000001
841,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,47,50,26,13713.99,3185.1041538461545
842,trigger factor,46,50,23,27872.66,3842.62777826087
843,cell division protein ZapE,34,50,13,27872.66,4557.2140615384615
844,MFS transporter,32,50,13,37878.25,6676.094692307693
845,DEAD/DEAH box helicase,46,50,30,13713.99,1920.8089700000003
846,enoyl-CoA hydratase/isomerase family protein,44,50,24,13713.99,3434.959050000001
847,succinyldiaminopimelate transaminase,42,50,24,302785.5,32181.84580000001
848,DEAD/DEAH box helicase,43,50,15,198956.2,16247.449053333332
849,"succinate dehydrogenase, cytochrome b556 subunit",35,50,21,13713.99,2999.276666666666
850,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,44,50,34,38833.58,5054.728879411765
851,chromosomal replication initiator protein DnaA,46,50,9,3428.529,1246.0791777777779
852,fasciclin domain-containing protein,37,50,16,4325.003,1174.3668000000002
853,DHA2 family efflux MFS transporter permease subunit,38,50,15,37878.25,4339.685339999999
854,biliverdin-producing heme oxygenase,31,50,17,13713.99,2827.577682352941
855,biotin--[acetyl-CoA-carboxylase] ligase,46,50,26,74987.35,8689.979846153847
856,DNA gyrase subunit A,44,50,21,13713.99,1517.9965476190482
857,FAD-dependent monooxygenase,28,50,15,9300.843,2953.473906666667
858,ABC transporter permease,28,50,18,9852.15,2329.088
859,DUF202 domain-containing protein,32,50,18,13713.99,3195.402288888889
860,AAA family ATPase,30,50,16,74987.35,9486.9630875
861,DUF664 domain-containing protein,32,50,15,28780.5,4378.245620000001
862,biotin synthase BioB,27,50,13,13713.99,3016.2904153846152
863,flotillin family protein,26,50,10,10272.33,2509.3766299999997
864,succinic semialdehyde dehydrogenase,35,50,12,18247.98,2865.4919666666665
865,oligopeptide:H+ symporter,37,50,18,13713.99,3386.573377777778
866,nucleoside hydrolase,35,50,23,37878.25,4751.514260869566
867,NADP-dependent malic enzyme,50,50,27,27872.66,3053.0019185185174
868,pantoate--beta-alanine ligase,44,50,30,198956.2,16193.899059999996
869,DNA-3-methyladenine glycosylase,38,50,29,138924.1,6958.775637931034
870,ROK family protein,28,50,19,17718.99,4388.866710526317
871,penicillin-binding protein,44,50,22,29467.88,6175.85085
872,RNA-binding S4 domain-containing protein,36,50,14,211093.9,17268.50147142857
873,VOC family protein,30,50,15,8228.79,2888.80888
874,MaoC family dehydratase,28,50,14,17718.99,3564.6395
875,glutamate synthase large subunit,51,50,27,198956.2,8929.176459259259
876,NAD(P)H-quinone oxidoreductase,44,50,27,28780.5,5506.134448148148
877,molybdenum cofactor biosynthesis protein MoaE,46,50,27,28780.5,3510.1653185185182
878,prephenate dehydrogenase,44,50,39,198956.2,10253.649128205127
879,tRNA adenosine deaminase-associated protein,25,50,17,17718.99,4005.9760235294125
880,UTP--glucose-1-phosphate uridylyltransferase,38,50,21,8922.646,1918.8667047619047
881,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,29,50,23,4576.539,1772.6507913043483
882,YbaB/EbfC family nucleoid-associated protein,25,50,14,13713.99,2644.868757142857
883,glutamine amidotransferase,27,50,20,211093.9,14720.139965000004
884,2-isopropylmalate synthase,45,50,20,13713.99,2960.579155
885,catalase,34,50,17,37878.25,6413.45001764706
886,WhiB family transcriptional regulator,30,50,9,38833.58,6658.665866666666
887,MBL fold metallo-hydrolase,30,50,19,13072.54,2630.7264315789475
888,Crp/Fnr family transcriptional regulator,37,50,25,38833.58,4622.288520000001
889,MarP family serine protease,35,50,14,13713.99,2185.2135571428576
890,phage holin family protein,35,50,15,13713.99,2031.9530933333335
891,hypothetical protein,29,50,20,211093.9,23638.613940000007
892,HAD-IB family hydrolase,31,50,21,66470.78,8271.057995238096
893,type II secretion system F family protein,25,50,9,9492.083,2615.957211111111
894,type I DNA topoisomerase,45,50,24,8697.46,2519.6657124999992
895,ABC transporter ATP-binding protein,42,50,30,50885.97,5955.613993333332
896,DNA polymerase III subunit delta',46,50,33,65884.11,8291.729390909091
897,S-(hydroxymethyl)mycothiol dehydrogenase,42,50,15,8922.646,2670.0513599999995
898,M1 family metallopeptidase,26,50,10,4576.539,1235.66262
899,DUF2516 family protein,36,50,20,12351.13,2138.93976
900,DUF2505 domain-containing protein,26,50,16,48804.94,5555.3445125
901,D-inositol-3-phosphate glycosyltransferase,37,50,24,28780.5,5233.425183333333
902,hypothetical protein,28,50,20,13713.99,2395.2269850000002
903,Ppx/GppA family phosphatase,36,50,22,8323.257,1564.6700818181823
904,pyrroline-5-carboxylate reductase,47,50,26,27872.66,4035.854719230769
905,helix-turn-helix domain-containing protein,35,50,31,8922.646,2179.2501612903225
906,HAD-IB family hydrolase,29,50,17,29467.88,5011.1168705882355
907,uroporphyrinogen decarboxylase,44,50,32,38833.58,5358.427709374999
908,protoporphyrinogen oxidase,45,50,27,46858.52,4499.0879629629635
909,cytochrome c biogenesis protein ResB,46,50,30,3700.972,1266.9726300000002
910,"dTDP-glucose 4,6-dehydratase",43,50,25,16271.57,3679.823100000001
911,o-succinylbenzoate synthase,43,50,35,138924.1,7490.262228571429
912,glycosyltransferase family 1 protein,26,50,19,23787.35,3744.815526315791
913,geranylgeranyl reductase family protein,34,50,13,13713.99,2537.752046153846
914,NAD(P)/FAD-dependent oxidoreductase,43,50,30,68804.91,6293.040133333332
915,DNA-directed RNA polymerase subunit beta',46,50,5,28780.5,7042.033939999999
916,50S ribosomal protein L3,45,50,12,3661.11,1605.1381333333336
917,50S ribosomal protein L2,45,50,35,13713.99,2478.9447057142875
918,50S ribosomal protein L22,45,50,31,50885.97,6385.864341935483
919,adenylate kinase,46,50,11,8782.157,2136.363154545455
920,WXG100 family type VII secretion target,34,50,12,13713.99,3145.3151166666667
921,aquaporin,31,50,13,13072.54,3874.381669230769
922,HAD hydrolase-like protein,29,50,20,13713.99,2655.78869
923,chaperonin GroEL,28,50,16,28780.5,4659.52425625
924,sigma-70 family RNA polymerase sigma factor,27,50,11,13713.99,3845.7628090909084
925,response regulator transcription factor,30,50,23,49376.54,4462.519321739132
926,GntP family permease,36,50,8,29467.88,6662.71895
927,tRNA (cytidine(34)-2'-O)-methyltransferase,33,50,14,13713.99,2547.9562071428563
928,homoserine O-acetyltransferase,43,50,16,198956.2,16948.81716875
929,NADP-dependent isocitrate dehydrogenase,34,50,15,8485.756,2854.8967866666662
930,YihY/virulence factor BrkB family protein,54,50,37,38833.58,4883.315191891891
931,adenosine deaminase,36,50,23,13713.99,3045.6095347826085
932,amidohydrolase,37,50,29,28780.5,5635.564358620689
933,NAD(P)H-quinone dehydrogenase,45,50,22,4545.701,1532.253722727273
934,MmgE/PrpD family protein,28,50,12,38833.58,4985.848941666666
935,pyruvate carboxylase,40,50,26,17718.99,2690.2479807692316
936,sulfurtransferase,32,50,16,6750.528,1665.5185437500004
937,Maf-like protein,46,50,23,50885.97,6730.133986956522
938,acyl-CoA carboxylase subunit beta,50,50,30,138924.1,11626.33530666667
939,helix-turn-helix domain-containing protein,38,50,24,38833.58,4312.958795833334
940,ABC transporter substrate-binding protein,40,50,26,27872.66,5080.572219230769
941,TIGR03089 family protein,30,50,15,2943.461,1170.5279533333335
942,LCP family protein,55,50,26,27872.66,2907.2435999999993
943,dTDP-4-dehydrorhamnose reductase,41,50,33,17253.57,4768.864009090907
944,metallopeptidase family protein,37,50,28,211093.9,9206.5242
945,DUF3499 domain-containing protein,35,50,24,37878.25,4882.667791666666
946,phosphomannomutase/phosphoglucomutase,28,50,20,10272.33,1960.567785
947,adenosylhomocysteinase,34,50,17,28780.5,4829.3889
948,dTMP kinase,41,50,28,38833.58,3800.916664285715
949,LpqB family beta-propeller domain-containing protein,44,50,29,27872.66,4581.180368965518
950,ComF family protein,46,50,30,48804.94,5330.364780000001
951,hypothetical protein,26,50,21,8922.646,1629.1535904761902
952,ribosome small subunit-dependent GTPase A,45,50,29,13713.99,1944.789172413793
953,SOS response-associated peptidase,42,50,26,74987.35,6447.689269230769
954,DUF3152 domain-containing protein,31,50,24,27872.66,5604.520316666668
955,potassium channel family protein,25,50,13,38833.58,6091.22583846154
956,PPA1309 family protein,27,50,18,13713.99,2840.2619500000005
957,pyridoxal phosphate-dependent aminotransferase,43,50,25,28780.5,4637.797984000001
958,helicase-associated domain-containing protein,36,50,19,28780.5,3085.4228578947373
959,septation protein SepH,44,50,32,10894.72,2757.643593750001
960,phosphoserine transaminase,46,50,17,46858.52,5501.134635294118
961,"3'(2'),5'-bisphosphate nucleotidase CysQ",31,50,12,28780.5,6435.284491666666
962,ATP-dependent helicase,35,50,23,38833.58,3151.5515782608695
963,Fpg/Nei family DNA glycosylase,35,50,27,10894.72,1679.5823555555553
964,YccF domain-containing protein,33,50,19,10272.33,2991.911405263158
965,glutamate-cysteine ligase family protein,26,50,17,8922.646,2967.6902
966,glucose-6-phosphate isomerase,34,50,22,29467.88,4615.299345454547
967,antibiotic biosynthesis monooxygenase,27,50,20,302785.5,23077.357675
968,CoA ester lyase,40,50,16,68804.91,7137.933531250001
969,MogA/MoaB family molybdenum cofactor biosynthesis protein,48,50,29,13713.99,3518.510989655173
970,SAF domain-containing protein,27,50,17,13713.99,2148.611123529412
971,molybdopterin molybdotransferase MoeA,29,50,13,2659.79,1667.913707692308
972,DNA-3-methyladenine glycosylase I,44,50,27,13713.99,1871.8400740740742
973,resuscitation-promoting factor,35,50,19,29467.88,4738.805615789474
974,antibiotic biosynthesis monooxygenase,30,50,21,50885.97,6355.160190476192
975,nitronate monooxygenase,34,50,19,8922.646,1828.9089578947364
976,aminoacyl-tRNA hydrolase,46,50,18,138924.1,9805.520866666668
977,ribose-phosphate diphosphokinase,45,50,22,38833.58,7751.763018181818
978,Ppx/GppA family phosphatase,37,50,21,4545.701,1209.5781380952383
979,dihydroxyacetone kinase subunit DhaK,28,50,19,8323.257,2136.66817368421
980,PhoH family protein,39,50,23,38833.58,4816.8087869565215
981,class II fumarate hydratase,46,50,35,27872.66,2555.568508571429
982,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,43,50,29,27872.66,2741.393282758621
983,redox-regulated ATPase YchF,44,50,17,94590.41,9370.17195882353
984,MSMEG_4193 family putative phosphomutase,30,50,20,68804.91,5032.577295000001
985,SCO1664 family protein,30,50,21,28780.5,5409.213319047618
986,flavin reductase family protein,34,50,15,8485.756,2582.1528933333334
987,quinolinate synthase NadA,37,50,16,8485.756,2019.8355375
988,DUF808 domain-containing protein,34,50,17,138924.1,15827.40079411765
989,ABC transporter permease,37,50,15,37878.25,4457.325706666666
990,TIGR00730 family Rossman fold protein,43,50,27,9492.083,1943.5726148148149
991,glucosyl-3-phosphoglycerate synthase,35,50,24,138924.1,9471.479208333334
992,glycogen synthase,31,50,25,48804.94,4955.488152000001
993,glucose-1-phosphate adenylyltransferase,34,50,24,28780.5,2665.2834708333326
994,Mrp/NBP35 family ATP-binding protein,45,50,22,8485.756,2150.1600045454543
995,multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit,45,50,19,49376.54,7757.851384210526
996,DEAD/DEAH box helicase,47,50,27,13713.99,3109.046225925926
997,MarR family transcriptional regulator,44,50,27,38833.58,4359.887914814817
998,PspC domain-containing protein,30,50,11,6832.989,2986.2912
999,arginine--tRNA ligase,42,50,20,16271.57,3396.1855600000004
1000,diaminopimelate decarboxylase,46,50,33,74987.35,6683.513951515151
1001,homoserine kinase,46,50,27,50885.97,6527.53382962963
1002,ATP-binding cassette domain-containing protein,30,50,22,28780.5,3693.7420590909096
1003,respiratory nitrate reductase subunit gamma,25,50,9,4270.735,1392.5163666666667
1004,nitrate reductase molybdenum cofactor assembly chaperone,26,50,18,13713.99,2207.6277722222226
1005,nitrate reductase subunit beta,25,50,14,4545.701,2294.9752785714286
1006,NarK/NasA family nitrate transporter,37,50,21,9721.919,2082.136704761905
1007,peptide chain release factor 1,46,50,30,38833.58,4119.76091
1008,F0F1 ATP synthase subunit A,45,50,10,8156.898,2730.85773
1009,F0F1 ATP synthase subunit epsilon,46,50,10,4615.4,1521.7058200000001
1010,DUF2550 domain-containing protein,37,50,20,21732.38,3850.2253899999996
1011,hypothetical protein,34,50,21,28780.5,5302.563480952382
1012,"1,4-alpha-glucan branching protein GlgB",35,50,24,198956.2,13953.32709583333
1013,"alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase",34,50,20,28780.5,4864.429955000001
1014,electron transfer flavoprotein subunit alpha/FixB family protein,44,50,24,8485.756,2376.2386958333336
1015,fused MFS/spermidine synthase,38,50,22,13713.99,3118.9875454545454
1016,methionine synthase,35,50,15,12351.13,2636.956173333333
1017,NAD-dependent DNA ligase LigA,44,50,26,27872.66,3991.041546153846
1018,siderophore-interacting protein,35,50,18,21732.38,4883.394305555555
1019,aldo/keto reductase,35,50,13,66470.78,8725.439092307693
1020,glutathione S-transferase C-terminal domain-containing protein,39,50,19,8485.756,1814.3277789473684
1021,dihydroxy-acid dehydratase,62,50,54,198956.2,8498.7818
1022,class I SAM-dependent methyltransferase,34,50,18,28780.5,4564.354588888888
1023,IclR family transcriptional regulator,38,50,15,10894.72,1712.4864
1024,3-isopropylmalate dehydratase large subunit,45,50,23,28780.5,3914.8745478260876
1025,YihY/virulence factor BrkB family protein,29,50,20,46858.52,5224.849840000001
1026,DAK2 domain-containing protein,37,50,24,28780.5,3015.2594041666657
1027,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,45,50,35,138924.1,9564.111048571429
1028,SDR family NAD(P)-dependent oxidoreductase,43,50,31,138924.1,11825.426048387098
1029,class I SAM-dependent methyltransferase,33,50,21,49376.54,7868.204609523808
1030,DoxX family membrane protein,33,50,17,68804.91,6542.607211764705
1031,MBL fold metallo-hydrolase,35,50,15,38833.58,5902.347693333334
1032,excinuclease ABC subunit UvrA,45,50,37,198956.2,13119.138278378377
1033,phenylalanine--tRNA ligase subunit beta,44,50,32,10894.72,2133.5494187499994
1034,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,45,50,18,28780.5,3095.4835222222223
1035,acetylglutamate kinase,45,50,26,13713.99,2533.326065384615
1036,acetylornithine transaminase,42,50,23,27872.66,4482.857847826087
1037,arginine repressor,37,50,27,49376.54,4074.426833333334
1038,Trm112 family protein,25,50,11,3428.529,1688.6884636363638
1039,hypothetical protein,31,50,15,3428.529,1577.4126800000001
1040,SDR family oxidoreductase,38,50,26,6680.689,1834.480392307692
1041,copper transporter,36,50,7,1994.814,1163.1237714285714
1042,rRNA pseudouridine synthase,42,50,22,65884.11,7435.413063636364
1043,class I SAM-dependent methyltransferase,25,50,18,27872.66,5031.780933333333
1044,ABC transporter ATP-binding protein/permease,28,50,14,16739.64,2275.2404928571427
1045,MOSC domain-containing protein,32,50,20,5351.021,1815.44238
1046,bifunctional nuclease family protein,36,50,22,50885.97,9654.366604545456
1047,NADP-dependent phosphogluconate dehydrogenase,38,50,23,13713.99,3480.8697217391305
1048,class I SAM-dependent methyltransferase,31,50,22,13713.99,3538.4188863636373
1049,metalloregulator ArsR/SmtB family transcription factor,32,50,22,38833.58,6597.986963636364
1050,FxsA family protein,25,50,7,3661.11,1528.908357142857
1051,DEAD/DEAH box helicase,44,50,25,138924.1,8214.596931999997
1052,Pup--protein ligase,37,50,17,3428.529,1233.7188117647058
1053,ubiquitin-like protein Pup,36,50,11,10272.33,2860.851872727273
1054,proteasome accessory factor PafA2,37,50,17,13713.99,3206.6465294117643
1055,proteasome ATPase,37,50,27,13713.99,3545.6527148148157
1056,PD-(D/E)XK nuclease family protein,35,50,19,13713.99,3459.4081263157896
1057,phytoene desaturase family protein,48,50,31,13713.99,3590.562987096776
1058,squalene/phytoene synthase family protein,40,50,19,38833.58,4765.712236842106
1059,DNA photolyase family protein,35,50,16,68804.91,10243.297300000002
1060,hypothetical protein,26,50,9,2264.006,1037.7759777777778
1061,SPFH/Band 7/PHB domain protein,40,50,17,28780.5,4437.168617647059
1062,NfeD family protein,34,50,14,28780.5,3486.649314285714
1063,ferrochelatase,48,50,27,10272.33,1842.8372555555554
1064,DUF1990 domain-containing protein,30,50,17,38833.58,6914.681911764707
1065,ATP-binding cassette domain-containing protein,44,50,34,211093.9,12223.274770588234
1066,transcriptional regulator,37,50,26,38833.58,3887.8936192307697
1067,transketolase,45,50,32,28780.5,2604.32305
1068,glucose-6-phosphate dehydrogenase,38,50,18,138924.1,10403.721855555552
1069,glucose-6-phosphate dehydrogenase assembly protein OpcA,39,50,23,13713.99,2550.961126086957
1070,6-phosphogluconolactonase,36,50,19,27872.66,3990.0649894736844
1071,phosphoenolpyruvate carboxylase,26,50,15,8156.898,2978.1995066666673
1072,hypothetical protein,35,50,28,13713.99,1696.7228214285713
1073,polyphosphate kinase 2 family protein,41,50,21,13713.99,3354.1397952380953
1074,elongation factor P,45,50,14,50885.97,4700.2283
1075,chorismate synthase,44,50,30,28780.5,3010.424206666666
1076,alanine--tRNA ligase,45,50,13,3428.529,1197.2567076923078
1077,replication-associated recombination protein A,44,50,32,66470.78,4422.915171875
1078,aspartate--tRNA ligase,38,50,29,38833.58,2922.3162310344833
1079,neutral zinc metallopeptidase,37,50,25,48804.94,3128.5613680000015
1080,NAD(P)H-dependent oxidoreductase,39,50,23,13713.99,3024.5220391304347
1081,histidine--tRNA ligase,45,50,29,28780.5,4576.259693103448
1082,MBL fold metallo-hydrolase,36,50,18,37878.25,5005.149827777778
1083,peptidylprolyl isomerase,36,50,18,66470.78,6604.329494444445
1084,adenine phosphoribosyltransferase,45,50,28,28780.5,4314.648475
1085,protein translocase subunit SecF,42,50,17,27872.66,4171.170535294117
1086,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,40,50,26,138924.1,10918.716092307694
1087,CDP-alcohol phosphatidyltransferase family protein,33,50,22,211093.9,11363.789795454544
1088,ROK family protein,44,50,23,28780.5,3510.480291304348
1089,DEAD/DEAH box helicase,43,50,30,138924.1,9026.409396666666
1090,D-aminoacyl-tRNA deacylase,28,50,17,66470.78,9082.825488235292
1091,DeoR/GlpR family DNA-binding transcription regulator,39,50,25,13713.99,2325.306972
1092,phosphoenolpyruvate--protein phosphotransferase,45,50,21,10272.33,2848.5108666666674
1093,HPr family phosphocarrier protein,38,50,25,8156.898,1672.628132
1094,GTPase HflX,46,50,30,13072.54,3324.1298299999994
1095,DUF349 domain-containing protein,45,50,30,3993.322,1199.9954800000003
1096,energy-coupling factor ABC transporter ATP-binding protein,38,50,21,27872.66,4232.945519047619
1097,energy-coupling factor transporter transmembrane protein EcfT,36,50,23,6565.992,1930.1243260869567
1098,PspA/IM30 family protein,30,50,8,138924.1,21522.021725000002
1099,YciI family protein,31,50,16,198956.2,16361.103612500005
1100,FAD-dependent thymidylate synthase,26,50,14,138924.1,13133.65994285714
1101,translation initiation factor IF-2,44,50,26,16770.32,4584.339626923078
1102,transcription termination factor NusA,43,50,22,13713.99,2162.7672909090907
1103,ribosome maturation factor RimP,36,50,18,13713.99,4884.790005555555
1104,proline--tRNA ligase,45,50,38,65884.11,7804.381794736842
1105,uroporphyrinogen-III C-methyltransferase,36,50,21,27872.66,5118.56079047619
1106,VOC family protein,29,50,12,6017.919,1930.7294333333336
1107,mycothione reductase,28,50,10,13713.99,2765.16809
1108,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,45,50,18,13713.99,3011.8225499999994
1109,lipopolysaccharide assembly protein LapA domain-containing protein,26,50,9,3661.11,1492.0174666666667
1110,sulfur carrier protein ThiS,27,50,11,8323.257,1986.3679636363638
1111,thiazole synthase,29,50,16,3428.529,1172.9819562500002
1112,tRNA (guanosine(37)-N1)-methyltransferase TrmD,45,50,26,21732.38,3602.6971230769236
1113,P-II family nitrogen regulator,32,50,7,1733.503,1081.5861
1114,DivIVA domain-containing protein,27,50,13,5485.32,1436.1256615384616
1115,NADP-specific glutamate dehydrogenase,36,50,18,28780.5,5212.720200000001
1116,glycerate kinase,56,50,38,27872.66,3742.7337578947368
1117,indole-3-glycerol phosphate synthase TrpC,46,50,33,37878.25,4926.59358787879
1118,imidazole glycerol phosphate synthase subunit HisF,45,50,26,28780.5,2912.4678769230773
1119,histidinol-phosphate transaminase,46,50,29,13713.99,2325.0845758620694
1120,glycogen debranching protein GlgX,38,50,21,8485.756,2150.655347619048
1121,malto-oligosyltrehalose synthase,33,50,23,28780.5,2592.3473173913044
1122,RNA-binding S4 domain-containing protein,36,50,26,21732.38,4658.929403846154
1123,malto-oligosyltrehalose trehalohydrolase,30,50,18,8922.646,1491.8951166666673
1124,DNA polymerase III subunit alpha,45,50,27,13713.99,2869.9137814814817
1125,ADP-forming succinate--CoA ligase subunit beta,42,50,21,138924.1,10347.132438095237
1126,succinate--CoA ligase subunit alpha,42,50,13,8922.646,2729.8768923076927
1127,DNA polymerase IV,28,50,15,65884.11,6625.4300399999975
1128,peptidoglycan editing factor PgeF,37,50,18,3428.529,1568.466211111111
1129,FtsQ-type POTRA domain-containing protein,46,50,28,38833.58,7145.590985714284
1130,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,41,50,29,29467.88,3011.7385586206906
1131,penicillin-binding protein 2,47,50,31,29467.88,2778.6181516129027
1132,Rv2175c family DNA-binding protein,45,50,29,13713.99,2034.8087413793103
1133,1-acyl-sn-glycerol-3-phosphate acyltransferase,45,50,26,28780.5,3807.9175884615393
1134,glycosyltransferase family 4 protein,27,50,11,4263.555,2219.467309090909
